Target,Assay,Conc,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
IMP-1,CPE_5_plex,1000000,0.0457011,0.0471649,0.0478712,0.0483171,0.048913,0.0490905,0.0492764,0.0495875,0.0498632,0.0497689,0.0500292,0.0504318,0.0509105,0.0514301,0.0527716,0.0548554,0.058659,0.0656793,0.0773302,0.095759,0.120902,0.150356,0.181111,0.211168,0.240084,0.26722,0.292246,0.314342,0.334778,0.353632,0.370873,0.388164,0.409334,0.419757,0.422194,0.432696,0.440546,0.447803,0.454778,0.46065,0.465687,0.470134,0.474819,0.477949,0.48039
IMP-1,CPE_5_plex,10000000,0.0429936,0.0440125,0.0446814,0.0451794,0.0455613,0.0459688,0.0462346,0.0466151,0.0469978,0.0475268,0.0481685,0.0496984,0.0522132,0.056854,0.0647073,0.0777358,0.0971466,0.12215,0.150155,0.178695,0.207188,0.233611,0.258545,0.281053,0.301784,0.31982,0.336827,0.35209,0.365136,0.377409,0.388235,0.398213,0.406652,0.414438,0.421083,0.427405,0.433242,0.438097,0.442278,0.445947,0.449432,0.45291,0.455776,0.458111,0.459916
IMP-1,CPE_5_plex,10000000,0.0429936,0.0440125,0.0446814,0.0451794,0.0455613,0.0459688,0.0462346,0.0466151,0.0469978,0.0475268,0.0481685,0.0496984,0.0522132,0.056854,0.0647073,0.0777358,0.0971466,0.12215,0.150155,0.178695,0.207188,0.233611,0.258545,0.281053,0.301784,0.31982,0.336827,0.35209,0.365136,0.377409,0.388235,0.398213,0.406652,0.414438,0.421083,0.427405,0.433242,0.438097,0.442278,0.445947,0.449432,0.45291,0.455776,0.458111,0.459916
KPC-1,CPE_5_plex,10,0.0518002,0.0526748,0.0531593,0.0532437,0.0535016,0.0536277,0.0536112,0.0538368,0.0541438,0.0541007,0.054242,0.0542219,0.0543334,0.054417,0.0542449,0.054623,0.054654,0.0546922,0.0548916,0.0548308,0.0551503,0.0550535,0.0551424,0.0553887,0.0556163,0.0558208,0.0561971,0.0565211,0.0571538,0.0583845,0.0604567,0.064324,0.0713678,0.0844494,0.10729,0.143768,0.192511,0.244871,0.293257,0.33483,0.370418,0.40039,0.426157,0.446479,0.463819
KPC-1,CPE_5_plex,10,0.044065,0.0443013,0.0442754,0.044478,0.0445112,0.0446701,0.044732,0.0449729,0.0449233,0.0449575,0.0449619,0.0451634,0.0453558,0.0452297,0.0452595,0.0453597,0.0453494,0.0455032,0.0458675,0.0457815,0.0462115,0.0461551,0.0463489,0.0466816,0.0468915,0.0472049,0.0476601,0.0485469,0.0496368,0.0517475,0.0556536,0.0629107,0.0760772,0.0994511,0.137014,0.187164,0.240063,0.287631,0.329804,0.365309,0.395715,0.421762,0.442994,0.461012,0.476789
KPC-1,CPE_5_plex,100,0.048123,0.0490763,0.0497587,0.0500891,0.0502466,0.0503768,0.0506256,0.050836,0.0505596,0.05088,0.0508973,0.0509203,0.0509824,0.0511834,0.0511862,0.0513088,0.0511847,0.0513414,0.0514664,0.0516288,0.0516063,0.0518395,0.0520454,0.051994,0.0522023,0.052366,0.0525703,0.0534303,0.0543169,0.0561089,0.0594247,0.0659267,0.0779776,0.0988686,0.133349,0.180945,0.234074,0.283827,0.327317,0.364182,0.395533,0.421708,0.443355,0.462134,0.477714
KPC-1,CPE_5_plex,100,0.048434,0.0495136,0.0499024,0.0503622,0.0507124,0.0507387,0.0508882,0.050915,0.0512797,0.0513116,0.0513826,0.0515454,0.051709,0.0517445,0.0517845,0.0519768,0.0519799,0.0519978,0.0522112,0.0523386,0.0524703,0.0527765,0.052851,0.0532941,0.0534003,0.0538912,0.054812,0.0561644,0.0586311,0.0631738,0.071766,0.0875131,0.114599,0.15609,0.208431,0.260588,0.307822,0.348321,0.383432,0.413106,0.438359,0.460504,0.479263,0.495395,0.510233
KPC-1,CPE_5_plex,1000,0.0466828,0.0479671,0.0483267,0.0487628,0.049123,0.0489742,0.0490289,0.0491524,0.0492856,0.0493771,0.049304,0.0496777,0.0497084,0.0494479,0.0496685,0.0497431,0.0497251,0.0500435,0.0500939,0.0500831,0.0501614,0.05025,0.0505148,0.0509614,0.0515673,0.0525707,0.0546542,0.0585644,0.0657274,0.0795332,0.103141,0.140893,0.190028,0.24244,0.290154,0.331361,0.366625,0.396479,0.421334,0.442442,0.459763,0.474065,0.486192,0.496204,0.504899
KPC-1,CPE_5_plex,1000,0.0415947,0.0423411,0.0429284,0.0431328,0.043509,0.04364,0.0437395,0.0439472,0.0439105,0.0440251,0.0441613,0.0442565,0.0443841,0.0444102,0.0444212,0.0444325,0.0446877,0.0448104,0.0450059,0.0449981,0.0453374,0.045489,0.0459037,0.0467007,0.0475096,0.0494803,0.0532385,0.0596594,0.0715446,0.0930678,0.128386,0.176626,0.229691,0.278467,0.321552,0.358409,0.389445,0.415453,0.437816,0.456384,0.472243,0.485267,0.496822,0.506252,0.514171
KPC-1,CPE_5_plex,10000,0.0486944,0.0498446,0.0501195,0.0503884,0.0507697,0.0508671,0.0510422,0.0510596,0.0510718,0.0513438,0.0511917,0.0514489,0.0516426,0.0516342,0.0517341,0.0515701,0.0517851,0.0520019,0.05223,0.0521466,0.0524305,0.0526987,0.0536658,0.0547337,0.0573884,0.0620795,0.0711398,0.0881182,0.115914,0.157915,0.20826,0.25768,0.301395,0.340032,0.372018,0.39968,0.422595,0.441884,0.458071,0.471673,0.483073,0.493172,0.501054,0.507839,0.513281
KPC-1,CPE_5_plex,10000,0.044361,0.0455356,0.046067,0.0462448,0.0465711,0.0467279,0.0468737,0.0469759,0.0470548,0.0471331,0.0471847,0.047294,0.0473895,0.0476053,0.0476098,0.0477201,0.0476406,0.048045,0.0481247,0.0483868,0.0491788,0.0500345,0.0518981,0.0553,0.0615927,0.073527,0.0945572,0.128723,0.175296,0.2263,0.272639,0.313434,0.348454,0.377935,0.403168,0.424552,0.442652,0.458047,0.472085,0.483808,0.495734,0.50661,0.516346,0.526517,0.536386
KPC-1,CPE_5_plex,100000,0.044767,0.0457354,0.0462293,0.0464498,0.046761,0.0469105,0.0470274,0.0471001,0.0472405,0.0471104,0.0474681,0.0473833,0.047626,0.0476217,0.0475609,0.0478035,0.0481339,0.0485192,0.0491616,0.0498356,0.0521628,0.0558541,0.0626771,0.0758395,0.0987814,0.135432,0.184431,0.237094,0.284693,0.325907,0.360693,0.390342,0.415591,0.435436,0.452611,0.46719,0.479178,0.48897,0.498067,0.504569,0.510445,0.515612,0.519577,0.522471,0.525946
KPC-1,CPE_5_plex,100000,0.042769,0.0434111,0.0441309,0.0445043,0.0445549,0.044758,0.0449958,0.045089,0.0450464,0.0452619,0.0452433,0.0453412,0.0453957,0.045397,0.0455774,0.0457793,0.0460298,0.0465012,0.0474318,0.0490539,0.0523873,0.0583331,0.0693932,0.0892528,0.122069,0.16787,0.218083,0.26449,0.304839,0.339805,0.369048,0.394131,0.414338,0.431438,0.446268,0.458446,0.469139,0.477917,0.485162,0.491495,0.496912,0.501662,0.50572,0.508227,0.510564
